id,text
1349488503449649155,"@Uriasv Esa es la razón del famoso acuerdo de confidencialidad, para no decir cuanto pagaron realmente por la vacuna y cuanto van a decir que costaron  @IvanDuque  @MinSaludCol  @MinHacienda  @infopresidencia"
1349488487582625794,"Hasta @DanielRaisbeck sabe que @IvanDuque es un tremendo INEPTO.

Argentina acumula + 166.000 vacunas, hasta hoy 
13-01-2021 22:48 GMT

¿Y Colombia?
CERO VACUNAS.

(Si tiene otra fuente distinta, entonces la recibo gustoso).

https://t.co/VPuL4l9Lk8"
1349488470348206082,"@juanduribe61 @sergio_fajardo @JERobledo De verdad me gustaría que alguien de izquierda, que lea éste trino, pudiera dar una respuesta.
En serio,me gustaría leerla!"
1349488460147662850,"Segundo día trágico para Colombia por la ausencia de vacuna contra covid19... Ayer fueron 331 víctimas mas 342 de hoy, suman 673 tragedias por las que usted debe responder @IvanDuque ."
1349488458784501769,"Algunas de las ""luchas del siglo XX"", las de la ""generación bisagra"", esas de las que Petro se siente orgulloso y por eso alienta a los jóvenes a las ""luchas del siglo XX"". Empezaron con los CAI. https://t.co/HZaYQJadXX https://t.co/AIbupwXuRw"
1349488400903118848,"@ELTIEMPO @AlvaroUribeVel @EdwarRo66689378    Que mierda de ley, esto Uribista buscando de cómo ganar cuando los atrapen por sus delitos."
1349488399997153282,@Dicarop_ @petrogustavo @IvanDuque Tienes la razón
1349488395693780993,@Da_VinciNea @petrogustavo @emiliolagos1 Gracias M19 por tanto si no hubiera Sido este gran movimiento otro sería este país y el fin único de la constitución era prohibir la extracción.
1349488392594219018,"@AntonioGranoble @ElQueLosDELATA @migueldelrioabg @AUGUSTOOCAMPO @LUISEROLAVE @Betocoralg @ColombiaHumana_ @petrogustavo @GustavoBolivar @ISAZULETA @aplastapayasos Pero @Betocoralg lo necesitamos es en el exterior, es el único q ha hecho frente al uribismo. O dígame usted quién otro en el exterior ha hecho un papel así,me gusta @Betocoralg porque no es blabla el es con hechos y presenta evidencia cuando acusa a muchos hampones. Veo su canal"
1349488387309379587,"@Broca1807 @Zero1765318754 @DanielSamperO Robar dinero destinado a garantizar la vida de muchas personas es más lesivo obviamente. No es lo mismo matar una persona, que teniendo posición de garante, alguien con su actuar cause miles de muertes"
1349488331801972741,"@JERobledo felicitaciones, que gran distinción!!! Y lo peor es que sigue ahí, viviendo de nuestros impuestos sin hacer nada que aporte a Colombia. https://t.co/9BXsgJBkUz"
